city,date,player_of_match,venue,team1,team2,winner,result,result_margin
Cuttack,19-03-2010,A Symonds,Barabati Stadium,Deccan Chargers,Kings XI Punjab,Deccan Chargers,runs,6
Ahmedabad,20-03-2010,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,34
Mumbai,20-03-2010,JH Kallis,Brabourne Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,7
Cuttack,21-03-2010,A Symonds,Barabati Stadium,Deccan Chargers,Delhi Daredevils,Deccan Chargers,runs,10
Chennai,21-03-2010,J Theron,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,tie,NA
Mumbai,22-03-2010,SR Tendulkar,Brabourne Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,7
Bangalore,23-03-2010,RV Uthappa,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,36
Chandigarh,24-03-2010,AC Voges,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,31
Mumbai,25-03-2010,SR Tendulkar,Brabourne Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,5
Ahmedabad,26-03-2010,YK Pathan,"Sardar Patel Stadium, Motera",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,wickets,8
Chandigarh,27-03-2010,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,39
Bangalore,25-03-2010,KM Jadhav,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,runs,17
Ahmedabad,28-03-2010,NV Ojha,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,runs,17
Mumbai,28-03-2010,Harbhajan Singh,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,Mumbai Indians,runs,41
Delhi,29-03-2010,DA Warner,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,runs,40
Mumbai,30-03-2010,SL Malinga,Brabourne Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,wickets,4
Chennai,31-03-2010,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,5
Delhi,31-03-2010,KD Karthik,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,runs,67
Kolkata,01-04-2010,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,runs,24
Chandigarh,02-04-2010,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Chennai,03-04-2010,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,23
Mumbai,03-04-2010,AT Rayudu,Brabourne Stadium,Mumbai Indians,Deccan Chargers,Mumbai Indians,runs,63
Kolkata,04-04-2010,DPMD Jayawardene,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,8
Delhi,04-04-2010,PD Collingwood,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,runs,37
Nagpur,05-04-2010,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,runs,2
Chennai,06-04-2010,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,24
Jaipur,07-04-2010,MJ Lumb,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,9
Kolkata,07-04-2010,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,14
Bangalore,08-04-2010,TL Suman,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,wickets,7
Chandigarh,09-04-2010,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,wickets,6
Nagpur,10-04-2010,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Chennai Super Kings,Deccan Chargers,wickets,6
Bangalore,10-04-2010,R Vinay Kumar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,7
Delhi,11-04-2010,PP Chawla,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,7
Jaipur,11-04-2010,SR Tendulkar,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,runs,37
Nagpur,12-04-2010,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,runs,13
Mumbai,13-04-2010,KA Pollard,Brabourne Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,39
Chennai,13-04-2010,R Ashwin,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,9
Jaipur,14-04-2010,KP Pietersen,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Chennai,15-04-2010,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,wickets,6
Dharamsala,16-04-2010,RG Sharma,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Deccan Chargers,Deccan Chargers,wickets,5
Bangalore,17-04-2010,R McLaren,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,57
Kolkata,17-04-2010,JD Unadkat,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,8
Dharamsala,18-04-2010,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,6
Delhi,18-04-2010,A Symonds,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Deccan Chargers,runs,11
Kolkata,19-04-2010,M Kartik,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,9
Mumbai,21-04-2010,KA Pollard,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,35
Mumbai,22-04-2010,DE Bollinger,Dr DY Patil Sports Academy,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,runs,38
Mumbai,24-04-2010,A Kumble,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,wickets,9
Mumbai,25-04-2010,SK Raina,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,22
Chennai,08-04-2011,S Anirudha,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,2
Hyderabad,09-04-2011,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,8
Kochi,09-04-2011,AB de Villiers,Nehru Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Delhi,10-04-2011,SL Malinga,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,wickets,8
Mumbai,10-04-2011,SB Wagh,Dr DY Patil Sports Academy,Pune Warriors,Kings XI Punjab,Pune Warriors,wickets,7
Kolkata,11-04-2011,JH Kallis,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,runs,9
Jaipur,12-04-2011,SK Warne,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,wickets,6
Bangalore,12-04-2011,SR Tendulkar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,9
Chandigarh,13-04-2011,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,wickets,6
Mumbai,13-04-2011,MD Mishra,Dr DY Patil Sports Academy,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,wickets,4
Hyderabad,14-04-2011,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,runs,33
Jaipur,15-04-2011,G Gambhir,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,9
Mumbai,15-04-2011,BB McCullum,Wankhede Stadium,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,wickets,8
Chennai,16-04-2011,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,21
Hyderabad,16-04-2011,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,8
Mumbai,17-04-2011,Yuvraj Singh,Dr DY Patil Sports Academy,Pune Warriors,Delhi Daredevils,Delhi Daredevils,wickets,3
Kolkata,17-04-2011,L Balaji,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,8
Kochi,18-04-2011,BB McCullum,Nehru Stadium,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,wickets,7
Delhi,19-04-2011,S Sohal,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Deccan Chargers,runs,16
Mumbai,20-04-2011,MM Patel,Wankhede Stadium,Mumbai Indians,Pune Warriors,Mumbai Indians,wickets,7
Kolkata,20-04-2011,DPMD Jayawardene,Eden Gardens,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,runs,6
Chandigarh,21-04-2011,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,48
Mumbai,22-04-2011,Harbhajan Singh,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,8
Kolkata,22-04-2011,CH Gayle,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Delhi,23-04-2011,DA Warner,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,runs,29
Hyderabad,24-04-2011,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,Mumbai Indians,runs,37
Jaipur,24-04-2011,SK Warne,Sawai Mansingh Stadium,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,wickets,8
Chennai,25-04-2011,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,Chennai Super Kings,runs,25
Delhi,26-04-2011,V Kohli,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,3
Mumbai,27-04-2011,DE Bollinger,Dr DY Patil Sports Academy,Pune Warriors,Chennai Super Kings,Chennai Super Kings,wickets,8
Kochi,27-04-2011,I Sharma,Nehru Stadium,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,runs,55
Delhi,28-04-2011,MK Tiwary,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,runs,17
Jaipur,29-04-2011,J Botha,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,7
Bangalore,29-04-2011,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,runs,26
Kochi,30-04-2011,V Sehwag,Nehru Stadium,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,runs,38
Kolkata,30-04-2011,Iqbal Abdulla,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,8
Jaipur,01-05-2011,LRPL Taylor,Sawai Mansingh Stadium,Rajasthan Royals,Pune Warriors,Rajasthan Royals,wickets,6
