city,date,player_of_match,venue,team1,team2,winner,result,result_margin
Hyderabad,12-05-2014,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,wickets,7
Ranchi,13-05-2014,RA Jadeja,JSCA International Stadium Complex,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,5
Bangalore,13-05-2014,Yuvraj Singh,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,runs,16
Hyderabad,14-05-2014,WP Saha,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,wickets,6
Cuttack,14-05-2014,RV Uthappa,Barabati Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,6
Ahmedabad,15-05-2014,AM Rahane,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,runs,62
Ranchi,18-05-2014,AB de Villiers,JSCA International Stadium Complex,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Hyderabad,18-05-2014,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Ahmedabad,19-05-2014,MEK Hussey,"Sardar Patel Stadium, Motera",Rajasthan Royals,Mumbai Indians,Mumbai Indians,runs,25
Delhi,19-05-2014,AR Patel,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,4
Hyderabad,20-05-2014,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,wickets,7
Kolkata,20-05-2014,RV Uthappa,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,wickets,8
Chandigarh,21-05-2014,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,7
Kolkata,22-05-2014,RV Uthappa,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,30
Ranchi,22-05-2014,DA Warner,JSCA International Stadium Complex,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,6
Mumbai,23-05-2014,MEK Hussey,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,15
Chandigarh,23-05-2014,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,16
Bangalore,24-05-2014,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,8
Kolkata,24-05-2014,YK Pathan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,4
Chandigarh,25-05-2014,M Vohra,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,7
Mumbai,25-05-2014,CJ Anderson,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,5
Kolkata,27-05-2014,UT Yadav,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,28
Mumbai,28-05-2014,SK Raina,Brabourne Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,7
Mumbai,30-05-2014,V Sehwag,Wankhede Stadium,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,runs,24
Bangalore,01-06-2014,MK Pandey,M Chinnaswamy Stadium,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,3
Kolkata,08-04-2015,M Morkel,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,7
Chennai,09-04-2015,A Nehra,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,1
Pune,10-04-2015,JP Faulkner,Maharashtra Cricket Association Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,26
Chennai,11-04-2015,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,runs,45
Kolkata,11-04-2015,CH Gayle,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,3
Delhi,12-04-2015,DJ Hooda,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,wickets,3
Mumbai,12-04-2015,GJ Bailey,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,runs,18
Bangalore,13-04-2015,DA Warner,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Ahmedabad,14-04-2015,SPD Smith,"Sardar Patel Stadium, Motera",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,7
Kolkata,30-04-2015,AD Russell,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,wickets,7
Pune,15-04-2015,MA Agarwal,Maharashtra Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,wickets,5
Visakhapatnam,16-04-2015,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,wickets,6
Mumbai,17-04-2015,A Nehra,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,6
Visakhapatnam,18-04-2015,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,runs,4
Pune,18-04-2015,AD Russell,Maharashtra Cricket Association Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,4
Ahmedabad,19-04-2015,AM Rahane,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,8
Bangalore,19-04-2015,Harbhajan Singh,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,18
Delhi,20-04-2015,UT Yadav,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Ahmedabad,21-04-2015,SE Marsh,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,tie,NA
Visakhapatnam,22-04-2015,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,runs,16
Bangalore,22-04-2015,SK Raina,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,27
Delhi,23-04-2015,SS Iyer,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,runs,37
Ahmedabad,24-04-2015,MA Starc,"Sardar Patel Stadium, Motera",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Mumbai,25-04-2015,SL Malinga,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,runs,20
Chennai,25-04-2015,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,97
Delhi,26-04-2015,VR Aaron,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,10
Chandigarh,27-04-2015,TA Boult,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,20
Kolkata,07-05-2015,PP Chawla,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,13
Bangalore,29-04-2015,NA,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,NA,NA,NA
Chennai,28-04-2015,DJ Bravo,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,2
Delhi,01-05-2015,NM Coulter-Nile,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,9
Mumbai,01-05-2015,AT Rayudu,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,8
Bangalore,02-05-2015,Mandeep Singh,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,7
Hyderabad,02-05-2015,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,runs,22
Chandigarh,03-05-2015,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,runs,23
Mumbai,03-05-2015,AM Rahane,Brabourne Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,runs,14
Chennai,04-05-2015,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,24
Kolkata,04-05-2015,UT Yadav,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,35
Mumbai,05-05-2015,Harbhajan Singh,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,wickets,5
Bangalore,06-05-2015,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,138
Mumbai,07-05-2015,EJG Morgan,Brabourne Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,7
Chennai,08-05-2015,HH Pandya,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,6
Kolkata,09-05-2015,AD Russell,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,1
Raipur,09-05-2015,MC Henriques,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,6
Mumbai,10-05-2015,AB de Villiers,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,39
Chennai,10-05-2015,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,12
Hyderabad,11-05-2015,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,5
Raipur,12-05-2015,Z Khan,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,wickets,6
Chandigarh,13-05-2015,AR Patel,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,runs,22
Mumbai,14-05-2015,HH Pandya,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,runs,5
Hyderabad,15-05-2015,V Kohli,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Chandigarh,16-05-2015,P Negi,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,7
Mumbai,16-05-2015,SR Watson,Brabourne Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,9
Bangalore,17-05-2015,NA,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,NA,NA,NA
Hyderabad,17-05-2015,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,wickets,9
Mumbai,19-05-2015,KA Pollard,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,25
Pune,20-05-2015,AB de Villiers,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,runs,71
Ranchi,22-05-2015,A Nehra,JSCA International Stadium Complex,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,3
Kolkata,24-05-2015,RG Sharma,Eden Gardens,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,41
Mumbai,09-04-2016,AM Rahane,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,wickets,9
Kolkata,10-04-2016,AD Russell,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,wickets,9
Chandigarh,11-04-2016,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,wickets,5
Bangalore,12-04-2016,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,runs,45
Kolkata,13-04-2016,RG Sharma,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,6
Rajkot,14-04-2016,AJ Finch,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,wickets,7
Delhi,15-04-2016,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,8
Hyderabad,16-04-2016,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,8
Mumbai,16-04-2016,AJ Finch,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Gujarat Lions,wickets,3
Chandigarh,17-04-2016,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,wickets,6
Bangalore,17-04-2016,Q de Kock,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,wickets,7
Hyderabad,18-04-2016,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,wickets,7
Chandigarh,19-04-2016,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Mumbai,20-04-2016,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,6
Rajkot,21-04-2016,B Kumar,Saurashtra Cricket Association Stadium,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,10
Pune,22-04-2016,AB de Villiers,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,13
Delhi,23-04-2016,SV Samson,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,runs,10
Hyderabad,23-04-2016,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,wickets,5
Rajkot,24-04-2016,V Kohli,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,wickets,6
Pune,24-04-2016,SA Yadav,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,wickets,2
Chandigarh,25-04-2016,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,runs,25
Hyderabad,26-04-2016,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,runs,34
Delhi,27-04-2016,CH Morris,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Gujarat Lions,runs,1
Mumbai,28-04-2016,RG Sharma,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,6
Pune,29-04-2016,DR Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,wickets,3
Delhi,30-04-2016,CR Brathwaite,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,runs,27
Hyderabad,30-04-2016,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,15
Rajkot,01-05-2016,AR Patel,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,runs,23
Pune,01-05-2016,RG Sharma,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,wickets,8
Bangalore,02-05-2016,AD Russell,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Rajkot,03-05-2016,RR Pant,Saurashtra Cricket Association Stadium,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,wickets,8
Kolkata,04-05-2016,AD Russell,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,runs,7
Delhi,05-05-2016,AM Rahane,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,wickets,7
Hyderabad,06-05-2016,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,wickets,5
Bangalore,07-05-2016,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,wickets,7
Chandigarh,07-05-2016,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,runs,9
Visakhapatnam,08-05-2016,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,85
Kolkata,08-05-2016,P Kumar,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,wickets,5
Chandigarh,09-05-2016,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,1
Visakhapatnam,10-05-2016,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,4
Bangalore,11-05-2016,KH Pandya,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,6
Hyderabad,12-05-2016,CH Morris,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,wickets,7
Visakhapatnam,13-05-2016,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,wickets,7
Bangalore,14-05-2016,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,runs,144
Kolkata,14-05-2016,YK Pathan,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders,wickets,8
Chandigarh,15-05-2016,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,7
Visakhapatnam,15-05-2016,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,80
Kolkata,16-05-2016,V Kohli,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Visakhapatnam,17-05-2016,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,runs,19
Bangalore,18-05-2016,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,82
Kanpur,19-05-2016,DR Smith,Green Park,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,wickets,6
Raipur,20-05-2016,KK Nair,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,wickets,6
Visakhapatnam,21-05-2016,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,wickets,4
Kanpur,21-05-2016,SK Raina,Green Park,Gujarat Lions,Mumbai Indians,Gujarat Lions,wickets,6
Kolkata,22-05-2016,YK Pathan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,22
Raipur,22-05-2016,V Kohli,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Bangalore,24-05-2016,AB de Villiers,M Chinnaswamy Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,4
Delhi,25-05-2016,MC Henriques,Feroz Shah Kotla,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,runs,22
Delhi,27-05-2016,DA Warner,Feroz Shah Kotla,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,4
Bangalore,29-05-2016,BCJ Cutting,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,8
Hyderabad,05-04-2017,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,35
Pune,06-04-2017,SPD Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,wickets,7
Rajkot,07-04-2017,CA Lynn,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,wickets,10
Indore,08-04-2017,GJ Maxwell,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,wickets,6
Bengaluru,08-04-2017,KM Jadhav,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,runs,15
Hyderabad,09-04-2017,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,wickets,9
Mumbai,09-04-2017,N Rana,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,4
Indore,10-04-2017,AR Patel,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,8
Pune,11-04-2017,SV Samson,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,runs,97
Mumbai,12-04-2017,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,4
Kolkata,13-04-2017,SP Narine,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,8
Bangalore,14-04-2017,KA Pollard,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,4
Rajkot,14-04-2017,AJ Tye,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,wickets,7
Kolkata,15-04-2017,RV Uthappa,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,17
Delhi,15-04-2017,CJ Anderson,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,runs,51
Mumbai,16-04-2017,N Rana,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,wickets,6
Bangalore,16-04-2017,BA Stokes,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,runs,27
Delhi,17-04-2017,NM Coulter-Nile,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,wickets,4
Hyderabad,17-04-2017,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,5
Rajkot,18-04-2017,CH Gayle,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,21
Hyderabad,19-04-2017,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,runs,15
Indore,20-04-2017,JC Buttler,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,8
Kolkata,21-04-2017,SK Raina,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,wickets,4
Mumbai,22-04-2017,MJ McClenaghan,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,14
Pune,22-04-2017,MS Dhoni,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,wickets,6
Rajkot,23-04-2017,HM Amla,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,runs,26
Kolkata,23-04-2017,NM Coulter-Nile,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,82
Mumbai,24-04-2017,BA Stokes,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,runs,3
Pune,26-04-2017,RV Uthappa,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Bangalore,27-04-2017,AJ Tye,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,wickets,7
Kolkata,28-04-2017,G Gambhir,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,wickets,7
Chandigarh,28-04-2017,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,26
Pune,29-04-2017,LH Ferguson,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,runs,61
Rajkot,29-04-2017,KH Pandya,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,tie,NA
Chandigarh,30-04-2017,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,10
Hyderabad,30-04-2017,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,runs,48
Mumbai,01-05-2017,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,5
Pune,01-05-2017,BA Stokes,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,wickets,5
Delhi,02-05-2017,Mohammed Shami,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,wickets,6
Kolkata,03-05-2017,RA Tripathi,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,wickets,4
Delhi,04-05-2017,RR Pant,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,wickets,7
Bangalore,05-05-2017,Sandeep Sharma,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,runs,19
Hyderabad,06-05-2017,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,runs,12
